Optimizacion; Activación; Capas ocultas; Neuronas; Error
Adadelta; ReLU; 1; 800; 14.783
Adadelta; ReLU; 2; 100; 30.867
Adadelta; ReLU; 2; 200; 21.933
Adadelta; ReLU; 2; 500; 17.417
Adadelta; ReLU; 2; 700; 16.233
Adadelta; ReLU; 2; 800; 16.117
Adadelta; ReLU; 3; 100; 49.217
Adadelta; ReLU; 3; 200; 47.833
Adadelta; ReLU; 3; 500; 29.517
Adadelta; ReLU; 3; 700; 24.05
Adadelta; ReLU; 3; 800; 24.783
Adadelta; Sigmoid; 1; 100; 36.333
Adadelta; Sigmoid; 1; 200; 35.5
Adadelta; Sigmoid; 1; 500; 37.033
Adadelta; Sigmoid; 1; 700; 33.733
Adadelta; Sigmoid; 1; 800; 33.217
Adadelta; Sigmoid; 2; 100; 88.883
Adadelta; Sigmoid; 2; 200; 88.883
Adadelta; Sigmoid; 2; 500; 88.883
Adadelta; Sigmoid; 2; 700; 88.883
Adadelta; Sigmoid; 2; 800; 88.883
Adadelta; Sigmoid; 3; 100; 88.883
Adadelta; Sigmoid; 3; 200; 88.883
Adadelta; Sigmoid; 3; 500; 88.883
Adadelta; Sigmoid; 3; 700; 88.883
Adadelta; Sigmoid; 3; 800; 88.883
Adadelta; Tanh; 1; 100; 17.2
Adadelta; Tanh; 1; 200; 15.783
Adadelta; Tanh; 1; 500; 14.567
Adadelta; Tanh; 1; 700; 14.167
Adadelta; Tanh; 1; 800; 14.1
Adadelta; Tanh; 2; 100; 21.667
Adadelta; Tanh; 2; 200; 17.15
Adadelta; Tanh; 2; 500; 14.533
Adadelta; Tanh; 2; 700; 13.917
Adadelta; Tanh; 2; 800; 13.067
Adadelta; Tanh; 3; 100; 23.85
Adadelta; Tanh; 3; 200; 20.033
Adadelta; Tanh; 3; 500; 14.833
Adadelta; Tanh; 3; 700; 14.65
Adadelta; Tanh; 3; 800; 13.667
Adagrad; ReLU; 1; 100; 8.517
Adagrad; ReLU; 1; 200; 7.45
Adagrad; ReLU; 1; 500; 6.567
Adagrad; ReLU; 1; 700; 6.133
Adagrad; ReLU; 1; 800; 6.067
Adagrad; ReLU; 2; 100; 7.783
Adagrad; ReLU; 2; 200; 6.85
Adagrad; ReLU; 2; 500; 4.883
Adagrad; ReLU; 2; 700; 4.533
Adagrad; ReLU; 2; 800; 3.883
Adagrad; ReLU; 3; 100; 8.017
Adagrad; ReLU; 3; 200; 6.417
Adagrad; ReLU; 3; 500; 4.317
Adagrad; ReLU; 3; 700; 2.9
Adagrad; ReLU; 3; 800; 2.817
Adagrad; Sigmoid; 1; 100; 11.767
Adagrad; Sigmoid; 1; 200; 10.5
Adagrad; Sigmoid; 1; 500; 9.4
Adagrad; Sigmoid; 1; 700; 9.133
Adagrad; Sigmoid; 1; 800; 8.833
Adagrad; Sigmoid; 2; 100; 14.333
Adagrad; Sigmoid; 2; 200; 11.333
Adagrad; Sigmoid; 2; 500; 8.983
Adagrad; Sigmoid; 2; 700; 8.583
Adagrad; Sigmoid; 2; 800; 8.433
Adagrad; Sigmoid; 3; 100; 26.183
Adagrad; Sigmoid; 3; 200; 15.55
Adagrad; Sigmoid; 3; 500; 11.017
Adagrad; Sigmoid; 3; 700; 10.283
Adagrad; Sigmoid; 3; 800; 9.683
Adagrad; Tanh; 1; 100; 8.65
Adagrad; Tanh; 1; 200; 7.883
Adagrad; Tanh; 1; 500; 7.4
Adagrad; Tanh; 1; 700; 7.433
Adagrad; Tanh; 1; 800; 7.367
Adagrad; Tanh; 2; 100; 7.717
Adagrad; Tanh; 2; 200; 7.083
Adagrad; Tanh; 2; 500; 6.433
Adagrad; Tanh; 2; 700; 6.117
Adagrad; Tanh; 2; 800; 6.083
Adagrad; Tanh; 3; 100; 7.4
Adagrad; Tanh; 3; 200; 6.8
Adagrad; Tanh; 3; 500; 5.7
Adagrad; Tanh; 3; 700; 5.35
Adagrad; Tanh; 3; 800; 5.333
Adam; ReLU; 1; 100; 2.317
Adam; ReLU; 1; 200; 1.9
Adam; ReLU; 1; 500; 1.683
Adam; ReLU; 1; 700; 1.883
Adam; ReLU; 1; 800; 1.817
Adam; ReLU; 2; 100; 2.317
Adam; ReLU; 2; 200; 2.25
Adam; ReLU; 2; 500; 2.033
Adam; ReLU; 2; 700; 1.8
Adam; ReLU; 2; 800; 1.767
Adam; ReLU; 3; 100; 2.35
Adam; ReLU; 3; 200; 2.183
Adam; ReLU; 3; 500; 1.667
Adam; ReLU; 3; 700; 1.5
Adam; ReLU; 3; 800; 1.917
Adam; Sigmoid; 1; 100; 2.467
Adam; Sigmoid; 1; 200; 1.933
Adam; Sigmoid; 1; 500; 1.967
Adam; Sigmoid; 1; 700; 1.75
Adam; Sigmoid; 1; 800; 1.883
Adam; Sigmoid; 2; 100; 2.567
Adam; Sigmoid; 2; 200; 2.05
Adam; Sigmoid; 2; 500; 2.05
Adam; Sigmoid; 2; 700; 2.05
Adam; Sigmoid; 2; 800; 2.017
Adam; Sigmoid; 3; 100; 2.8
Adam; Sigmoid; 3; 200; 2.317
Adam; Sigmoid; 3; 500; 2.033
Adam; Sigmoid; 3; 700; 1.967
Adam; Sigmoid; 3; 800; 2.05
Adam; Tanh; 1; 100; 2.5
Adam; Tanh; 1; 200; 2.0
Adam; Tanh; 1; 500; 2.15
Adam; Tanh; 1; 700; 1.567
Adam; Tanh; 1; 800; 1.767
Adam; Tanh; 2; 100; 2.467
Adam; Tanh; 2; 200; 1.983
Adam; Tanh; 2; 500; 2.133
Adam; Tanh; 2; 700; 2.233
Adam; Tanh; 2; 800; 2.383
Adam; Tanh; 3; 100; 2.583
Adam; Tanh; 3; 200; 2.267
Adam; Tanh; 3; 500; 2.667
Adam; Tanh; 3; 700; 2.133
Adam; Tanh; 3; 800; 2.6
